Subject,Fine-tuning,Speech Category,Transcript ID,AVG Perplexity
Trump,interview,interview,5,16.402052
Trump,interview,interview,4,18.030088
Trump,interview,interview,3,17.372673
Trump,interview,interview,2,15.087915
Trump,interview,interview,1,17.096943
Trump,interview,rally,10,16.741652
Trump,interview,rally,9,18.834501
Trump,interview,rally,8,17.695305
Trump,interview,rally,6,18.114294
Trump,interview,rally,7,19.496271
Trump,rally,rally,10,14.332798
Trump,rally,rally,9,15.642777
Trump,rally,rally,8,15.472031
Trump,rally,rally,6,15.091542
Trump,rally,rally,7,15.285704
Trump,rally,interview,5,16.382948
Trump,rally,interview,4,19.22123
Trump,rally,interview,3,16.490774
Trump,rally,interview,2,15.280387
Trump,rally,interview,1,18.415878
